seed,agent,score,lines_removed,pieces_placed,total_reward,termination_reason,terminated,truncated,config_id,task_return,game_over,horizon_completed,policy_id,search_depth,effective_search_depth,search_strategy,max_nodes_expanded,beam_width,decisions_made,nodes_expanded,avg_nodes_per_decision,max_nodes_single_decision,total_decision_time_seconds,mean_decision_time_ms,p50_decision_time_ms,p95_decision_time_ms
1000000,StateGoalHeuristicAgent,2400,15,76,18.0,game_over,True,False,31a31b91b5ad163c,18.0,True,False,,2,2,greedy,500,0,76,7072,93.05263157894737,500,9.22037395600637,121.32070994745223,11.485138496936997,543.1245805048093
1000000,GeneticAgent,79600,116,300,127.0,horizon_completed,True,False,31a31b91b5ad163c,127.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41592,138.64,204,54.198413308018644,180.66137769339548,174.27192000104696,305.28166640069685
1000000,QTableAgent,0,0,27,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,27,977,0.0,0,0.004381356011435855,0.16227244486799464,0.09433599916519597,0.3185137997206765
1000000,DQNAgent,102000,116,300,165.0,horizon_completed,True,False,31a31b91b5ad163c,165.0,False,True,,0,0,,0,0,300,12873,0.0,0,16.31985740300297,54.39952467667657,53.51550799969118,96.02179099929347
1000001,StateGoalHeuristicAgent,19500,54,176,60.0,game_over,True,False,31a31b91b5ad163c,60.0,True,False,,2,2,greedy,500,0,176,15951,90.63068181818181,500,21.262483193029766,120.80956359676003,25.048455499927513,544.5233859991276
1000001,GeneticAgent,80700,119,300,126.0,horizon_completed,True,False,31a31b91b5ad163c,126.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41456,138.18666666666667,204,54.24371424799028,180.81238082663427,173.2680694985902,285.96787390233663
1000001,QTableAgent,0,0,25,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,25,907,0.0,0,0.002876225029467605,0.1150490011787042,0.09125500218942761,0.29291000100783965
1000001,DQNAgent,101000,116,300,158.0,horizon_completed,True,False,31a31b91b5ad163c,158.0,False,True,,0,0,,0,0,300,12331,0.0,0,15.008541078052076,50.028470260173584,46.622001500509214,88.6561902032554
1000002,StateGoalHeuristicAgent,48000,83,248,104.0,game_over,True,False,31a31b91b5ad163c,104.0,True,False,,2,2,greedy,500,0,248,18786,75.75,500,24.462533534046088,98.63924812115359,11.183298996911617,416.18826404956
1000002,GeneticAgent,72700,110,300,119.0,horizon_completed,True,False,31a31b91b5ad163c,119.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,54.63288811811799,182.1096270603933,177.1780814997328,308.39314949844277
1000002,QTableAgent,100,1,31,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,31,1118,0.0,0,0.009485410002525896,0.305980967823416,0.09202100045513362,1.0337815001548734
1000002,DQNAgent,91600,115,300,154.0,horizon_completed,True,False,31a31b91b5ad163c,154.0,False,True,,0,0,,0,0,300,13095,0.0,0,15.882425226001942,52.94141742000647,50.63830749713816,99.29894290144149
1000003,StateGoalHeuristicAgent,34300,68,207,88.0,game_over,True,False,31a31b91b5ad163c,88.0,True,False,,2,2,greedy,500,0,207,20544,99.2463768115942,500,25.97859369195794,125.5004526181543,59.881624998524785,613.7200440971355
1000003,GeneticAgent,78300,113,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41558,138.52666666666667,204,55.108855036065506,183.6961834535517,174.9809355060279,297.4075374459062
1000003,QTableAgent,0,0,17,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,17,515,0.0,0,0.0031352200094261207,0.18442470643683062,0.08167600026354194,0.4621372019755642
1000003,DQNAgent,99800,116,300,156.0,horizon_completed,True,False,31a31b91b5ad163c,156.0,False,True,,0,0,,0,0,300,12623,0.0,0,15.852387060069304,52.841290200231015,49.592996499995934,96.24520569959716
1000004,StateGoalHeuristicAgent,1200,10,67,12.0,game_over,True,False,31a31b91b5ad163c,12.0,True,False,,2,2,greedy,500,0,67,4998,74.59701492537313,500,5.932488137994369,88.54459907454282,6.688244000542909,456.73716690071126
1000004,GeneticAgent,69400,108,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,40712,135.70666666666668,204,53.252357109988225,177.50785703329407,171.08272799669066,293.7273564031785
1000004,QTableAgent,200,2,33,2.0,game_over,True,False,31a31b91b5ad163c,2.0,True,False,,0,0,,0,0,33,985,0.0,0,0.0037883930126554333,0.11479978826228586,0.08944299770519137,0.25805519690038614
1000004,DQNAgent,99700,115,300,160.0,horizon_completed,True,False,31a31b91b5ad163c,160.0,False,True,,0,0,,0,0,300,12960,0.0,0,15.385982299019815,51.28660766339939,47.15021950323717,98.61935169792562
1000005,StateGoalHeuristicAgent,7100,30,114,36.0,game_over,True,False,31a31b91b5ad163c,36.0,True,False,,2,2,greedy,500,0,114,10076,88.3859649122807,500,12.589805550953315,110.4368907978361,18.342220995691605,504.9718538000888
1000005,GeneticAgent,82900,117,300,130.0,horizon_completed,True,False,31a31b91b5ad163c,130.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41565,138.55,204,52.56001814507181,175.20006048357268,168.27793449920136,272.41033689970214
1000005,QTableAgent,0,0,22,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,22,692,0.0,0,0.0020481890096561983,0.09309950043891811,0.08920699838199653,0.16701194545021278
1000005,DQNAgent,95900,116,300,156.0,horizon_completed,True,False,31a31b91b5ad163c,156.0,False,True,,0,0,,0,0,300,13416,0.0,0,15.849918464038637,52.833061546795456,52.515040999423945,94.60880110236758
1000006,StateGoalHeuristicAgent,4400,24,99,26.0,game_over,True,False,31a31b91b5ad163c,26.0,True,False,,2,2,greedy,500,0,99,9525,96.21212121212122,500,11.06618459499441,111.77964237368091,38.04003899858799,536.0712975052593
1000006,GeneticAgent,74300,111,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41473,138.24333333333334,204,53.91571733811725,179.71905779372415,171.83756449594512,288.23368574630877
1000006,QTableAgent,100,1,32,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,32,1131,0.0,0,0.0028312510112300515,0.08847659410093911,0.08851999882608652,0.13254065052024086
1000006,DQNAgent,99300,115,300,162.0,horizon_completed,True,False,31a31b91b5ad163c,162.0,False,True,,0,0,,0,0,300,12783,0.0,0,14.967943344963714,49.89314448321238,50.70631400303682,85.76076059907791
1000007,StateGoalHeuristicAgent,30600,65,205,84.0,game_over,True,False,31a31b91b5ad163c,84.0,True,False,,2,2,greedy,500,0,205,14756,71.98048780487805,500,18.42510955691978,89.87858320448673,4.042582993861288,353.2396302020059
1000007,GeneticAgent,79900,116,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,54.09008795904083,180.30029319680276,176.17510049967677,305.50128769937146
1000007,QTableAgent,0,0,21,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,21,693,0.0,0,0.002071576993330382,0.09864652349192295,0.08604300091974437,0.17172899970319122
1000007,DQNAgent,105500,115,300,167.0,horizon_completed,True,False,31a31b91b5ad163c,167.0,False,True,,0,0,,0,0,300,13285,0.0,0,16.164250321984582,53.88083440661527,54.63192250317661,92.91361770337971
1000008,StateGoalHeuristicAgent,13800,39,140,53.0,game_over,True,False,31a31b91b5ad163c,53.0,True,False,,2,2,greedy,500,0,140,11746,83.9,500,14.459570665938372,103.28264761384551,12.689325001701945,538.0578672516995
1000008,GeneticAgent,73600,112,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41489,138.29666666666665,204,51.32864566205535,171.0954855401845,165.25715900206706,273.7260736961617
1000008,QTableAgent,0,0,25,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,25,836,0.0,0,0.002222879003966227,0.08891516015864909,0.08586399781052023,0.14557199901901183
1000008,DQNAgent,11400,34,129,54.0,game_over,True,False,31a31b91b5ad163c,54.0,True,False,,0,0,,0,0,129,5019,0.0,0,5.815453392002382,45.08103404653009,43.05485900113126,76.76065140258288
1000009,StateGoalHeuristicAgent,3100,19,88,24.0,game_over,True,False,31a31b91b5ad163c,24.0,True,False,,2,2,greedy,500,0,88,7016,79.72727272727273,500,8.647067441997933,98.26213002270379,7.213578002847498,496.1282431013376
1000009,GeneticAgent,78400,114,300,123.0,horizon_completed,True,False,31a31b91b5ad163c,123.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41575,138.58333333333334,204,48.19377141089353,160.64590470297844,151.80815400162828,274.29755089724495
1000009,QTableAgent,100,1,29,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,29,958,0.0,0,0.0025166699997498654,0.08678172412930571,0.0887649948708713,0.11749860277632251
1000009,DQNAgent,102900,116,300,166.0,horizon_completed,True,False,31a31b91b5ad163c,166.0,False,True,,0,0,,0,0,300,12733,0.0,0,15.2118620699257,50.70620689975234,50.44682500010822,89.07987875099937
1000010,StateGoalHeuristicAgent,2000,14,71,16.0,game_over,True,False,31a31b91b5ad163c,16.0,True,False,,2,2,greedy,500,0,71,8901,125.36619718309859,500,10.567041675036307,148.8315728878353,34.454806002031546,601.5444550030224
1000010,GeneticAgent,79100,116,300,125.0,horizon_completed,True,False,31a31b91b5ad163c,125.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41473,138.24333333333334,204,41.018774205942464,136.72924735314155,120.78752700108453,258.20053770075907
1000010,QTableAgent,0,0,27,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,27,978,0.0,0,0.002480711009411607,0.09187818553376322,0.08660500316182151,0.13765410039923154
1000010,DQNAgent,115300,117,300,172.0,horizon_completed,True,False,31a31b91b5ad163c,172.0,False,True,,0,0,,0,0,300,13425,0.0,0,15.802727822054294,52.67575940684765,52.47050699836109,94.28133449837333
1000011,StateGoalHeuristicAgent,12300,40,141,49.0,game_over,True,False,31a31b91b5ad163c,49.0,True,False,,2,2,greedy,500,0,141,11832,83.91489361702128,500,14.175993557968468,100.53896140403168,10.920667002210394,430.0351089987089
1000011,GeneticAgent,83200,118,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,36.69806035993679,122.32686786645597,105.94186700109276,257.6247451022937
1000011,QTableAgent,0,0,24,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,24,646,0.0,0,0.0033019399998011068,0.13758083332504611,0.07063199882395566,0.1209558995469706
1000011,DQNAgent,93400,117,300,151.0,horizon_completed,True,False,31a31b91b5ad163c,151.0,False,True,,0,0,,0,0,300,12575,0.0,0,11.406140323022555,38.02046774340852,35.37350499755121,71.60560250231359
