episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,last_loss,replay_size,learn_steps
1,0,29,0,0,29,0.0,-1.4210854715202004e-14,game_over,True,False,True,False,0.9856010447307353,,29,0
2,1,29,0,0,29,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9714094193743169,,58,0
3,2,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9598192884690291,,82,0
4,3,26,0,0,26,0.0,-1.4210854715202004e-14,game_over,True,False,True,False,0.9474193119897141,,108,0
5,4,25,0,0,25,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9356473554026741,,133,0
6,5,32,0,0,32,0.0,0.0,game_over,True,False,True,False,0.9207924399839357,,165,0
7,6,29,0,0,29,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9075339908283304,,194,0
8,7,23,0,0,23,0.0,0.0,game_over,True,False,True,False,0.8971545510546989,,217,0
9,8,29,0,0,29,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8842364628044451,,246,0
10,9,22,0,0,22,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.8745607565573406,,268,0
11,10,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.8641261514866426,,292,0
12,11,28,0,0,28,0.0,0.0,game_over,True,False,True,False,0.8521096925306499,,320,0
13,12,21,0,0,21,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8432071351729019,,341,0
14,13,28,0,0,28,0.0,0.0,game_over,True,False,True,False,0.8314815741378917,,369,0
15,14,29,0,0,29,0.0,0.0,game_over,True,False,True,False,0.8195091081446627,,398,0
16,15,32,0,0,32,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8064980752848135,,430,0
17,16,33,100,1,33,1.0,1.000000000000007,game_over,True,False,True,False,0.7932967668135174,,463,0
18,17,28,0,0,28,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.7822652547803074,,491,0
19,18,25,0,0,25,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.7725453847055842,,516,0
20,19,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.7625648136599319,,542,0
21,20,33,100,1,33,1.0,1.0,game_over,True,False,True,False,0.7500826346653616,,575,0
22,21,41,200,2,41,2.0,2.0,game_over,True,False,True,False,0.7348587128397597,,616,0
23,22,41,500,4,41,5.0,5.0,game_over,True,False,True,False,0.7199437806974822,,657,0
24,23,29,0,0,29,0.0,0.0,game_over,True,False,True,False,0.7095773424028339,,686,0
25,24,23,0,0,23,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.7014619270413868,,709,0
26,25,22,0,0,22,0.0,0.0,game_over,True,False,True,False,0.6937862205589209,,731,0
27,26,33,0,0,33,0.0,0.0,game_over,True,False,True,False,0.6824298563078359,,764,0
28,27,25,0,0,25,0.0,0.0,game_over,True,False,True,False,0.6739504696830434,,789,0
29,28,30,0,0,30,0.0,0.0,game_over,True,False,True,False,0.6639141638728693,,819,0
30,29,46,400,3,46,4.0,3.9999999999999964,game_over,True,False,True,False,0.6488146728595305,,865,0
31,30,36,100,1,36,1.0,1.0,game_over,True,False,True,False,0.6372376203729679,,901,0
32,31,36,100,1,36,1.0,1.0,game_over,True,False,True,False,0.6258671417354306,,937,0
33,32,35,0,0,35,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.6150070544966564,,972,0
34,33,35,100,1,35,1.0,1.0,game_over,True,False,True,False,0.6043354121960632,2.2876782417297363,1007,8
35,34,54,700,7,54,7.0,7.000000000000014,game_over,True,False,True,False,0.5882326952041615,0.8025621771812439,1061,62
36,35,38,100,1,38,1.0,1.000000000000007,game_over,True,False,True,False,0.5771590383046616,2.158726215362549,1099,100
37,36,37,200,2,37,2.0,1.999999999999993,game_over,True,False,True,False,0.5665771348847519,2.4934988021850586,1136,137
38,37,33,100,1,33,1.0,0.9999999999999929,game_over,True,False,True,False,0.557303015380182,1.3473057746887207,1169,170
39,38,39,300,3,39,3.0,2.999999999999986,game_over,True,False,True,False,0.5465382131697586,1.7104697227478027,1208,209
40,39,41,300,3,41,3.0,3.000000000000007,game_over,True,False,True,False,0.5354454953177946,2.0297839641571045,1249,250
41,40,30,0,0,30,0.0,0.0,game_over,True,False,True,False,0.5274717717617938,3.498157024383545,1279,280
42,41,40,200,2,40,2.0,2.0000000000000036,game_over,True,False,True,False,0.5170245448964526,3.039471387863159,1319,320
43,42,40,100,1,40,1.0,1.0000000000000036,game_over,True,False,True,False,0.5067842382020455,3.1231398582458496,1359,360
44,43,37,200,2,37,2.0,2.0,game_over,True,False,True,False,0.4974926192418035,2.4524667263031006,1396,397
45,44,46,500,4,46,5.0,5.000000000000007,game_over,True,False,True,False,0.48617807627494736,3.1725423336029053,1442,443
46,45,38,0,0,38,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.4770256281831953,1.719020128250122,1480,481
47,46,34,100,1,34,1.0,0.9999999999999929,game_over,True,False,True,False,0.4689827399117856,2.1243550777435303,1514,515
48,47,46,200,2,46,2.0,1.999999999999993,game_over,True,False,True,False,0.4583166010461821,1.9332009553909302,1560,561
49,48,53,600,6,53,6.0,5.999999999999989,game_over,True,False,True,False,0.44632776746890596,0.5668491721153259,1613,614
50,49,43,200,2,43,2.0,2.0000000000000036,game_over,True,False,True,False,0.4368317938746575,2.0630855560302734,1656,657
51,50,38,200,2,38,2.0,1.999999999999993,game_over,True,False,True,False,0.4286083043481496,2.7129085063934326,1694,695
52,51,45,400,4,45,4.0,3.999999999999975,game_over,True,False,True,False,0.41906994178663465,1.6506675481796265,1739,740
53,52,48,700,7,48,7.0,7.000000000000007,game_over,True,False,True,False,0.4091295399521963,0.9200276732444763,1787,788
54,53,51,600,6,51,6.0,5.999999999999993,game_over,True,False,True,False,0.3988260880691159,2.4341280460357666,1838,839
55,54,57,800,8,57,8.0,8.000000000000004,game_over,True,False,True,False,0.3876172272561781,0.5758283138275146,1895,896
56,55,42,300,3,42,3.0,3.0000000000000107,game_over,True,False,True,False,0.3795601465625972,2.8935012817382812,1937,938
57,56,50,500,5,50,5.0,5.0,game_over,True,False,True,False,0.3701864587093156,0.7049583196640015,1987,988
58,57,48,500,5,48,5.0,5.0,game_over,True,False,True,False,0.36140558042071763,2.7711732387542725,2035,1036
