seed,agent,score,lines_removed,pieces_placed,total_reward,termination_reason,terminated,truncated,config_id,task_return,game_over,horizon_completed,policy_id,search_depth,effective_search_depth,search_strategy,max_nodes_expanded,beam_width,decisions_made,nodes_expanded,avg_nodes_per_decision,max_nodes_single_decision,total_decision_time_seconds,mean_decision_time_ms,p50_decision_time_ms,p95_decision_time_ms
1000000,DQNAgent,102000,116,300,165.0,horizon_completed,True,False,31a31b91b5ad163c,165.0,False,True,,0,0,,0,0,300,12873,0.0,0,16.31985740300297,54.39952467667657,53.51550799969118,96.02179099929347
1000001,DQNAgent,101000,116,300,158.0,horizon_completed,True,False,31a31b91b5ad163c,158.0,False,True,,0,0,,0,0,300,12331,0.0,0,15.008541078052076,50.028470260173584,46.622001500509214,88.6561902032554
1000002,DQNAgent,91600,115,300,154.0,horizon_completed,True,False,31a31b91b5ad163c,154.0,False,True,,0,0,,0,0,300,13095,0.0,0,15.882425226001942,52.94141742000647,50.63830749713816,99.29894290144149
1000003,DQNAgent,99800,116,300,156.0,horizon_completed,True,False,31a31b91b5ad163c,156.0,False,True,,0,0,,0,0,300,12623,0.0,0,15.852387060069304,52.841290200231015,49.592996499995934,96.24520569959716
1000004,DQNAgent,99700,115,300,160.0,horizon_completed,True,False,31a31b91b5ad163c,160.0,False,True,,0,0,,0,0,300,12960,0.0,0,15.385982299019815,51.28660766339939,47.15021950323717,98.61935169792562
1000005,DQNAgent,95900,116,300,156.0,horizon_completed,True,False,31a31b91b5ad163c,156.0,False,True,,0,0,,0,0,300,13416,0.0,0,15.849918464038637,52.833061546795456,52.515040999423945,94.60880110236758
1000006,DQNAgent,99300,115,300,162.0,horizon_completed,True,False,31a31b91b5ad163c,162.0,False,True,,0,0,,0,0,300,12783,0.0,0,14.967943344963714,49.89314448321238,50.70631400303682,85.76076059907791
1000007,DQNAgent,105500,115,300,167.0,horizon_completed,True,False,31a31b91b5ad163c,167.0,False,True,,0,0,,0,0,300,13285,0.0,0,16.164250321984582,53.88083440661527,54.63192250317661,92.91361770337971
1000008,DQNAgent,11400,34,129,54.0,game_over,True,False,31a31b91b5ad163c,54.0,True,False,,0,0,,0,0,129,5019,0.0,0,5.815453392002382,45.08103404653009,43.05485900113126,76.76065140258288
1000009,DQNAgent,102900,116,300,166.0,horizon_completed,True,False,31a31b91b5ad163c,166.0,False,True,,0,0,,0,0,300,12733,0.0,0,15.2118620699257,50.70620689975234,50.44682500010822,89.07987875099937
1000010,DQNAgent,115300,117,300,172.0,horizon_completed,True,False,31a31b91b5ad163c,172.0,False,True,,0,0,,0,0,300,13425,0.0,0,15.802727822054294,52.67575940684765,52.47050699836109,94.28133449837333
1000011,DQNAgent,93400,117,300,151.0,horizon_completed,True,False,31a31b91b5ad163c,151.0,False,True,,0,0,,0,0,300,12575,0.0,0,11.406140323022555,38.02046774340852,35.37350499755121,71.60560250231359
