seed,agent,score,lines_removed,pieces_placed,total_reward,termination_reason,terminated,truncated,config_id,task_return,game_over,horizon_completed,policy_id,search_depth,effective_search_depth,search_strategy,max_nodes_expanded,beam_width,decisions_made,nodes_expanded,avg_nodes_per_decision,max_nodes_single_decision,total_decision_time_seconds,mean_decision_time_ms,p50_decision_time_ms,p95_decision_time_ms
1000000,GeneticAgent,79600,116,300,127.0,horizon_completed,True,False,31a31b91b5ad163c,127.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41592,138.64,204,54.198413308018644,180.66137769339548,174.27192000104696,305.28166640069685
1000001,GeneticAgent,80700,119,300,126.0,horizon_completed,True,False,31a31b91b5ad163c,126.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41456,138.18666666666667,204,54.24371424799028,180.81238082663427,173.2680694985902,285.96787390233663
1000002,GeneticAgent,72700,110,300,119.0,horizon_completed,True,False,31a31b91b5ad163c,119.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,54.63288811811799,182.1096270603933,177.1780814997328,308.39314949844277
1000003,GeneticAgent,78300,113,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41558,138.52666666666667,204,55.108855036065506,183.6961834535517,174.9809355060279,297.4075374459062
1000004,GeneticAgent,69400,108,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,40712,135.70666666666668,204,53.252357109988225,177.50785703329407,171.08272799669066,293.7273564031785
1000005,GeneticAgent,82900,117,300,130.0,horizon_completed,True,False,31a31b91b5ad163c,130.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41565,138.55,204,52.56001814507181,175.20006048357268,168.27793449920136,272.41033689970214
1000006,GeneticAgent,74300,111,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41473,138.24333333333334,204,53.91571733811725,179.71905779372415,171.83756449594512,288.23368574630877
1000007,GeneticAgent,79900,116,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,54.09008795904083,180.30029319680276,176.17510049967677,305.50128769937146
1000008,GeneticAgent,73600,112,300,120.0,horizon_completed,True,False,31a31b91b5ad163c,120.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41489,138.29666666666665,204,51.32864566205535,171.0954855401845,165.25715900206706,273.7260736961617
1000009,GeneticAgent,78400,114,300,123.0,horizon_completed,True,False,31a31b91b5ad163c,123.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41575,138.58333333333334,204,48.19377141089353,160.64590470297844,151.80815400162828,274.29755089724495
1000010,GeneticAgent,79100,116,300,125.0,horizon_completed,True,False,31a31b91b5ad163c,125.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41473,138.24333333333334,204,41.018774205942464,136.72924735314155,120.78752700108453,258.20053770075907
1000011,GeneticAgent,83200,118,300,128.0,horizon_completed,True,False,31a31b91b5ad163c,128.0,False,True,93646f0c20cceb9f,2,1,,0,2,300,41541,138.47,204,36.69806035993679,122.32686786645597,105.94186700109276,257.6247451022937
