episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,q_table_entries
1,0,29,0,0,29,0.0,-1.4210854715202004e-14,game_over,True,False,True,False,0.9971040563483742,997
2,1,29,0,0,29,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9942164991863819,2050
3,2,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9918331216146347,2793
4,3,20,0,0,20,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9898513387241272,3410
5,4,29,0,0,29,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9869847850236957,3977
6,5,24,0,0,24,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9846187436210371,4660
7,6,27,0,0,27,0.0,1.4210854715202004e-14,game_over,True,False,True,False,0.9819637261467681,5387
8,7,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.9794138092892584,6290
9,8,29,0,0,29,0.0,-1.4210854715202004e-14,game_over,True,False,True,False,0.9765774820859326,7139
10,9,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.9740415519716842,7815
11,10,30,100,1,30,1.0,0.9999999999999929,game_over,True,False,True,False,0.9711236604445794,8700
12,11,26,100,1,26,1.0,1.0,game_over,True,False,True,False,0.9686018925558499,9417
13,12,32,100,1,32,1.0,0.9999999999999858,game_over,True,False,True,False,0.9655071659642745,10168
14,13,29,0,0,29,0.0,0.0,game_over,True,False,True,False,0.9627111116164007,10800
15,14,26,0,0,26,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9602111890357014,11466
16,15,28,0,0,28,0.0,-2.1316282072803006e-14,game_over,True,False,True,False,0.9575262241610094,12143
17,16,23,0,0,23,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9553263346918551,12610
18,17,22,0,0,22,0.0,0.0,game_over,True,False,True,False,0.9532268220888624,13154
19,18,32,100,1,32,1.0,0.9999999999999929,game_over,True,False,True,False,0.9501812195386368,13640
20,19,29,100,1,29,1.0,1.0000000000000142,game_over,True,False,True,False,0.9474295482680196,14420
21,20,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9451583303411385,14980
22,21,22,0,0,22,0.0,-1.4210854715202004e-14,game_over,True,False,True,False,0.9430811638752785,15580
23,22,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9408203700781957,16137
24,23,23,0,0,23,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9386588618371926,16796
25,24,21,0,0,21,0.0,0.0,game_over,True,False,True,False,0.9366896481630899,17196
26,25,19,0,0,19,0.0,1.4210854715202004e-14,game_over,True,False,True,False,0.934911538663589,17619
27,26,27,0,0,27,0.0,0.0,game_over,True,False,True,False,0.9323905563157222,18290
28,27,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.9299693687157875,18881
29,28,19,0,0,19,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9282040162620683,19306
30,29,30,0,0,30,0.0,0.0,game_over,True,False,True,False,0.9254234381347873,19765
31,30,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9232049741798795,20190
32,31,23,0,0,23,0.0,0.0,game_over,True,False,True,False,0.9210839368136717,20618
33,32,26,0,0,26,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9186921097073092,21293
34,33,26,0,0,26,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.9163064935842006,21623
35,34,25,0,0,25,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9140184741633747,22138
36,35,22,0,0,22,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9120097434959706,22679
37,36,31,0,0,31,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9091867500398251,23477
38,37,24,0,0,24,0.0,0.0,game_over,True,False,True,False,0.9070072093559315,24094
39,38,28,0,0,28,0.0,0.0,game_over,True,False,True,False,0.9044710146874873,24553
40,39,23,0,0,23,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.9023930180643557,25085
41,40,31,100,1,31,1.0,0.9999999999999858,game_over,True,False,True,False,0.899599791782472,25689
42,41,30,0,0,30,0.0,0.0,game_over,True,False,True,False,0.8969049020163081,26316
43,42,27,0,0,27,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8944864042951971,26843
44,43,34,100,1,34,1.0,1.0000000000000142,game_over,True,False,True,False,0.8914501632408608,27423
45,44,29,0,0,29,0.0,0.0,game_over,True,False,True,False,0.8888685737998827,28092
46,45,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.8865604020211381,28816
47,46,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.8842582239934575,29415
48,47,27,0,0,27,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.8818738279501374,29823
49,48,26,0,0,26,0.0,0.0,game_over,True,False,True,False,0.8795838197958541,30284
50,49,24,0,0,24,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8774752445003438,30768
51,50,28,0,0,28,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.8750216277993541,31297
52,51,25,0,0,25,0.0,1.4210854715202004e-14,game_over,True,False,True,False,0.8728366967832959,31729
53,52,24,0,0,24,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8707442959746048,32298
54,53,25,0,0,25,0.0,0.0,game_over,True,False,True,False,0.8685700454659457,32680
55,54,28,0,0,28,0.0,0.0,game_over,True,False,True,False,0.8661413296897552,33327
56,55,25,0,0,25,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8639785727984902,33804
57,56,26,0,0,26,0.0,-7.105427357601002e-15,game_over,True,False,True,False,0.8617350341945228,34236
58,57,25,0,0,25,0.0,0.0,game_over,True,False,True,False,0.8595832798332383,34769
59,58,25,0,0,25,0.0,7.105427357601002e-15,game_over,True,False,True,False,0.8574368984075403,35319
60,59,30,0,0,30,0.0,0.0,game_over,True,False,True,False,0.8548683140839806,35978
61,60,31,100,1,31,1.0,1.0000000000000142,game_over,True,False,True,False,0.8522221936080363,36421
