seed,agent,score,lines_removed,pieces_placed,total_reward,termination_reason,terminated,truncated,config_id,task_return,game_over,horizon_completed,policy_id,search_depth,effective_search_depth,search_strategy,max_nodes_expanded,beam_width,decisions_made,nodes_expanded,avg_nodes_per_decision,max_nodes_single_decision,total_decision_time_seconds,mean_decision_time_ms,p50_decision_time_ms,p95_decision_time_ms
1000000,QTableAgent,0,0,27,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,27,977,0.0,0,0.004381356011435855,0.16227244486799464,0.09433599916519597,0.3185137997206765
1000001,QTableAgent,0,0,25,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,25,907,0.0,0,0.002876225029467605,0.1150490011787042,0.09125500218942761,0.29291000100783965
1000002,QTableAgent,100,1,31,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,31,1118,0.0,0,0.009485410002525896,0.305980967823416,0.09202100045513362,1.0337815001548734
1000003,QTableAgent,0,0,17,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,17,515,0.0,0,0.0031352200094261207,0.18442470643683062,0.08167600026354194,0.4621372019755642
1000004,QTableAgent,200,2,33,2.0,game_over,True,False,31a31b91b5ad163c,2.0,True,False,,0,0,,0,0,33,985,0.0,0,0.0037883930126554333,0.11479978826228586,0.08944299770519137,0.25805519690038614
1000005,QTableAgent,0,0,22,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,22,692,0.0,0,0.0020481890096561983,0.09309950043891811,0.08920699838199653,0.16701194545021278
1000006,QTableAgent,100,1,32,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,32,1131,0.0,0,0.0028312510112300515,0.08847659410093911,0.08851999882608652,0.13254065052024086
1000007,QTableAgent,0,0,21,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,21,693,0.0,0,0.002071576993330382,0.09864652349192295,0.08604300091974437,0.17172899970319122
1000008,QTableAgent,0,0,25,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,25,836,0.0,0,0.002222879003966227,0.08891516015864909,0.08586399781052023,0.14557199901901183
1000009,QTableAgent,100,1,29,1.0,game_over,True,False,31a31b91b5ad163c,1.0,True,False,,0,0,,0,0,29,958,0.0,0,0.0025166699997498654,0.08678172412930571,0.0887649948708713,0.11749860277632251
1000010,QTableAgent,0,0,27,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,27,978,0.0,0,0.002480711009411607,0.09187818553376322,0.08660500316182151,0.13765410039923154
1000011,QTableAgent,0,0,24,0.0,game_over,True,False,31a31b91b5ad163c,0.0,True,False,,0,0,,0,0,24,646,0.0,0,0.0033019399998011068,0.13758083332504611,0.07063199882395566,0.1209558995469706
