seed,agent,score,lines_removed,pieces_placed,total_reward,termination_reason,terminated,truncated,config_id,task_return,game_over,horizon_completed,policy_id,search_depth,effective_search_depth,search_strategy,max_nodes_expanded,beam_width,decisions_made,nodes_expanded,avg_nodes_per_decision,max_nodes_single_decision,total_decision_time_seconds,mean_decision_time_ms,p50_decision_time_ms,p95_decision_time_ms
1000000,StateGoalHeuristicAgent,2400,15,76,18.0,game_over,True,False,31a31b91b5ad163c,18.0,True,False,,2,2,greedy,500,0,76,7072,93.05263157894737,500,9.22037395600637,121.32070994745223,11.485138496936997,543.1245805048093
1000001,StateGoalHeuristicAgent,19500,54,176,60.0,game_over,True,False,31a31b91b5ad163c,60.0,True,False,,2,2,greedy,500,0,176,15951,90.63068181818181,500,21.262483193029766,120.80956359676003,25.048455499927513,544.5233859991276
1000002,StateGoalHeuristicAgent,48000,83,248,104.0,game_over,True,False,31a31b91b5ad163c,104.0,True,False,,2,2,greedy,500,0,248,18786,75.75,500,24.462533534046088,98.63924812115359,11.183298996911617,416.18826404956
1000003,StateGoalHeuristicAgent,34300,68,207,88.0,game_over,True,False,31a31b91b5ad163c,88.0,True,False,,2,2,greedy,500,0,207,20544,99.2463768115942,500,25.97859369195794,125.5004526181543,59.881624998524785,613.7200440971355
1000004,StateGoalHeuristicAgent,1200,10,67,12.0,game_over,True,False,31a31b91b5ad163c,12.0,True,False,,2,2,greedy,500,0,67,4998,74.59701492537313,500,5.932488137994369,88.54459907454282,6.688244000542909,456.73716690071126
1000005,StateGoalHeuristicAgent,7100,30,114,36.0,game_over,True,False,31a31b91b5ad163c,36.0,True,False,,2,2,greedy,500,0,114,10076,88.3859649122807,500,12.589805550953315,110.4368907978361,18.342220995691605,504.9718538000888
1000006,StateGoalHeuristicAgent,4400,24,99,26.0,game_over,True,False,31a31b91b5ad163c,26.0,True,False,,2,2,greedy,500,0,99,9525,96.21212121212122,500,11.06618459499441,111.77964237368091,38.04003899858799,536.0712975052593
1000007,StateGoalHeuristicAgent,30600,65,205,84.0,game_over,True,False,31a31b91b5ad163c,84.0,True,False,,2,2,greedy,500,0,205,14756,71.98048780487805,500,18.42510955691978,89.87858320448673,4.042582993861288,353.2396302020059
1000008,StateGoalHeuristicAgent,13800,39,140,53.0,game_over,True,False,31a31b91b5ad163c,53.0,True,False,,2,2,greedy,500,0,140,11746,83.9,500,14.459570665938372,103.28264761384551,12.689325001701945,538.0578672516995
1000009,StateGoalHeuristicAgent,3100,19,88,24.0,game_over,True,False,31a31b91b5ad163c,24.0,True,False,,2,2,greedy,500,0,88,7016,79.72727272727273,500,8.647067441997933,98.26213002270379,7.213578002847498,496.1282431013376
1000010,StateGoalHeuristicAgent,2000,14,71,16.0,game_over,True,False,31a31b91b5ad163c,16.0,True,False,,2,2,greedy,500,0,71,8901,125.36619718309859,500,10.567041675036307,148.8315728878353,34.454806002031546,601.5444550030224
1000011,StateGoalHeuristicAgent,12300,40,141,49.0,game_over,True,False,31a31b91b5ad163c,49.0,True,False,,2,2,greedy,500,0,141,11832,83.91489361702128,500,14.175993557968468,100.53896140403168,10.920667002210394,430.0351089987089
